device,count
"ox60-1-sw2",2
"ox60-130e-sw1",2
"ox60-cgisx-3-3-sw.fas",2
"ox60-fly-1-sw.fas",2
"ox60-lab-1-sw.fas",2
"ox60-lab-sw2",2
"ox60-noc-gw.fas",2
"ox60-noc-test-sw1",2
"ox60-npx-3-3-sw.fas",2
"ox60-rc-1-1-sw.fas",2
"ox60-rc-1-10-sw.fas",2
"ox60-rc-1-2-sw.fas",2
"ox60-rc-1-3-sw.fas",2
"ox60-rc-1-3-sw2",2
"ox60-rc-1-6-sw",2
"ox60-rc-1-8-sw.fas",2
"ox60-rc-1-9-sw.fas",2
"ox60-rc-2-4-sw.fas",2
"ox60-rc-3-11-gw.fas",2
"ox60-rc-3-4-sw.fas",2
"ox60-rc-3-5-sw.fas",2
"ox60-rc-3-8-sw.fas",2
"ox60-rc-4-1-sw",2
"ox60-rc-4-10a-sw.fas",2
"ox60-rc-4-11-sw",2
"ox60-rc-4-4-sw.fas",2
"ox60-rc-4-5-sw.fas",2
"ox60-rc-4-8b-sw.fas",2
"ox60-rc-5-5-sw",2
"ox60-rc-core-gw.fas",2
"ox60-taperoom-sw1",2
"ox60-vmr-gw1",2
ox60sum1gw1,2
ox60ucvcsw1,2
ox60wrlsgw1,2
"oxford38-205-sw.fas",2
"oxford38-b-sw.fas",2
"oxford60-3-1-sw.fas",2
"oxford60-3-2-sw.fas",2
"oxford60-3-3-sw.fas",2
"oxford60-3-4-sw.fas",2
oxgw3,2
"paine-1-1-sw.fas",2
"paine-b-sw2.fas",2
"palfrey-b-sw.fas",2
"palmer-1-sw1",2
"pbh-b-sw.fas",2
"peabody-5-sw.fas",2
"peabody-bw-sw.fas",2
"peabody-bw-sw2.fas",2
"pennypacker-b-sw.fas",2
"perkins-bn-sw.fas",2
perksw1,2
"pierce-301-rc-sw",2
"pierce-an-sw.fas",2
"pierce-an-sw2.fas",2
"pierce-as-sw.fas",2
"pierce-as-sw2.fas",2
"pierce-b-2-sw.fas",2
"pierce-bs-2-sw.fas",2
"pierce-bs-sw.fas",2
"prescott6-b-sw.fas",2
"prescott8-b-sw.fas",2
"pt-ba-b-sw1",2
"pt-bd-b-sw1",2
"pt-bef-b-sw1",2
"pt-gar-sw1",2
"pt-mdf-sw1",2
"pt-t11-12-sw1",2
"pt-t11-15-sw1",2
"pt-t11-18-sw1",2
"pt-t11-21-sw1",2
"pt-t11-4-sw1",2
"pt-t11-6-sw1",2
"pt-t11-9-sw1",2
"pt-t2-12-sw1",2
"pt-t2-15-sw1",2
"pt-t2-18-sw1",2
"pt-t2-21-sw1",2
"pt-t2-4-sw1",2
"pt-t2-6-sw1",2
"pt-t2-9-sw1",2
"pt-t24-12-sw1",2
"pt-t24-15-sw1",2
"pt-t24-18-sw1",2
"pt-t24-21-sw1",2
"pt-t24-4-sw1",2
"pt-t24-6-sw1",2
"pt-t24-9-sw1",2
"pusey-1-sw1",2
"pusey-p2-sw.fas",2
"putnam-b-sw1",2
"qrac-b-sw.fas",2
"radgym-b-sw1",2
